pais,id_cliente,fecha_pedido,fecha_llegada,tipo_compra,numero_pedido,tamano_paquete,unidades,costo_empacado,costo_envio,tipo_descuento,categoria,tipo_consumo,tipo_cliente,costo_producto
Argentina,487583305,2015-07-21,2018-02-25,Normal,98070340,Paquete pequeño,3,3.0,5.73,Sin descuento,BlueRay,Alto Consumo,B2C,8.73
Argentina,499023098,2015-10-30,2015-11-21,Normal,98069665,Paquete pequeño,1,3.0,4.58,Sin descuento,BlueRay,Alto Consumo,B2C,7.58
Argentina,514668821,2007-03-10,2007-03-30,Normal,98084647,Paquete pequeño,1,3.0,4.55,Cyber Monday,BlueRay,Alto Consumo,B2C,7.55
Argentina,523605849,2014-06-27,2017-05-10,Normal,98072751,Paquete pequeño,1,2.0,6.1,Fecha especial,BlueRay,Alto Consumo,B2C,8.1
Argentina,523605849,2015-07-05,2015-07-24,Normal,98070458,Paquete pequeño,2,3.0,6.88,Sin descuento,BlueRay,Alto Consumo,B2C,9.88
Argentina,535619292,2001-06-09,2001-06-20,Devolución,98092332,Paquete pequeño,1,1.0,4.88,Sin descuento,BlueRay,Alto Consumo,B2B,5.88
Argentina,536970848,2010-11-18,2010-12-03,Normal,98079135,Paquete pequeño,2,1.0,4.99,Sin descuento,BlueRay,Alto Consumo,B2C,5.99
Argentina,548390931,2008-11-07,2008-11-27,Normal,98082446,Paquete pequeño,1,1.0,5.89,Sin descuento,BlueRay,Alto Consumo,B2B,6.89
Argentina,555364119,2011-10-04,2011-10-20,Normal,98077623,Paquete pequeño,3,3.0,4.1,Liquidación,BlueRay,Alto Consumo,B2C,7.1
Argentina,567281373,2010-05-01,2016-03-23,Normal,98080086,Paquete pequeño,3,1.0,3.45,Sin descuento,BlueRay,Alto Consumo,B2C,4.45
Argentina,579819412,2009-07-31,2009-08-15,Normal,98081419,Paquete pequeño,1,3.0,3.55,Liquidación,BlueRay,Alto Consumo,B2C,6.55
Argentina,598384221,2002-03-22,2002-04-11,Normal,98091280,Paquete pequeño,1,2.0,4.61,Sin descuento,BlueRay,Alto Consumo,B2B,6.61
Argentina,612686122,2009-03-25,2009-04-11,Normal,98081900,Paquete pequeño,1,1.0,5.55,Black Friday,BlueRay,Alto Consumo,B2B,6.55
Argentina,618976416,2014-08-10,2014-08-26,Normal,98072477,Paquete pequeño,3,2.0,3.88,Sin descuento,BlueRay,Alto Consumo,B2B,5.88
Argentina,648402267,2015-06-18,2015-06-27,Normal,98070560,Paquete pequeño,1,1.0,4.68,Sin descuento,BlueRay,Alto Consumo,B2C,5.68
Argentina,659361408,2014-12-05,2014-12-22,Normal,98071843,Paquete pequeño,1,1.0,4.2,Sin descuento,BlueRay,Alto Consumo,B2B,5.2
Argentina,695360223,2005-11-19,2005-12-01,Normal,98086428,Paquete pequeño,2,1.0,4.58,Sin descuento,BlueRay,Alto Consumo,B2C,5.58
Argentina,700137756,2007-05-13,2007-05-27,Normal,98084438,Paquete pequeño,1,1.0,6.0,Cyber Monday,BlueRay,Alto Consumo,B2B,7.0
Argentina,705211779,2013-11-19,2017-02-28,Normal,98073922,Paquete pequeño,3,2.0,5.68,Black Friday,BlueRay,Alto Consumo,B2C,7.68
Argentina,707476699,2014-12-27,2015-01-14,Normal,98071719,Paquete pequeño,1,2.0,3.58,Liquidación,BlueRay,Alto Consumo,B2C,5.58
Argentina,720326971,2010-03-20,2010-04-01,Normal,98080290,Paquete pequeño,2,3.0,3.58,Liquidación,BlueRay,Alto Consumo,B2C,6.58
Argentina,720465100,2010-11-13,2010-12-05,Devolución,98079170,Paquete pequeño,1,3.0,3.33,Sin descuento,BlueRay,Alto Consumo,B2C,6.33
Argentina,728304917,2015-06-30,2015-07-15,Normal,98070474,Paquete pequeño,1,2.0,5.99,Sin descuento,BlueRay,Alto Consumo,B2C,7.99
Argentina,733351455,2014-07-23,2018-06-13,Normal,98072599,Paquete pequeño,3,2.0,6.45,Cyber Monday,BlueRay,Alto Consumo,B2B,8.45
Argentina,733376144,2005-07-08,2005-07-20,Normal,98086928,Paquete pequeño,2,2.0,4.75,Sin descuento,BlueRay,Alto Consumo,B2B,6.75
Argentina,751863869,2001-10-31,2001-11-10,Normal,98091848,Paquete pequeño,1,2.0,5.2,Sin descuento,BlueRay,Alto Consumo,B2C,7.2
Argentina,761322747,2000-05-18,2000-05-30,Normal,98093733,Paquete pequeño,2,2.0,6.61,Liquidación,BlueRay,Alto Consumo,B2C,8.61
Argentina,761322747,2005-09-18,2005-10-04,Normal,98086672,Paquete pequeño,2,3.0,3.2,Sin descuento,BlueRay,Alto Consumo,B2C,6.2
Argentina,767598372,2006-11-17,2006-12-01,Devolución,98085084,Paquete pequeño,3,3.0,3.99,Sin descuento,BlueRay,Alto Consumo,B2B,6.99
Argentina,767598372,2015-02-06,2015-02-21,Normal,98071455,Paquete pequeño,2,1.0,5.68,Sin descuento,BlueRay,Alto Consumo,B2B,6.68
Argentina,773449633,2008-04-20,2008-05-09,Normal,98083174,Paquete pequeño,1,3.0,5.36,Cyber Monday,BlueRay,Alto Consumo,B2C,8.36
Argentina,821972070,2009-03-24,2009-04-03,Devolución,98081908,Paquete pequeño,3,3.0,3.68,Cyber Monday,BlueRay,Alto Consumo,B2C,6.68
Argentina,841860903,2012-07-20,2012-08-08,Normal,98076281,Paquete pequeño,3,3.0,5.61,Fecha especial,BlueRay,Alto Consumo,B2B,8.61
Argentina,845554615,2011-11-16,2011-12-01,Normal,98077432,Paquete pequeño,1,3.0,4.61,Fecha especial,BlueRay,Alto Consumo,B2C,7.61
Brasil,131591686,2002-02-23,2002-03-09,Normal,98091403,Paquete pequeño,1,3.0,6.73,Sin descuento,BlueRay,Alto Consumo,B2C,9.73
Brasil,140565407,2011-12-25,2012-01-03,Normal,98077262,Paquete pequeño,1,1.0,5.58,Sin descuento,BlueRay,Alto Consumo,B2C,6.58
Brasil,150909215,2014-10-27,2014-11-13,Normal,98072053,Paquete pequeño,3,3.0,6.99,Sin descuento,BlueRay,Alto Consumo,B2B,9.99
Brasil,197732829,2009-05-19,2009-06-11,Normal,98081692,Paquete pequeño,1,2.0,4.58,Black Friday,BlueRay,Alto Consumo,B2C,6.58
Brasil,201171360,2007-12-11,2007-12-23,Normal,98083652,Paquete pequeño,1,1.0,3.99,Fecha especial,BlueRay,Alto Consumo,B2C,4.99
Brasil,216955161,2011-12-22,2012-01-01,Devolución,98077271,Paquete pequeño,2,2.0,3.75,Liquidación,BlueRay,Alto Consumo,B2C,5.75
Brasil,217065938,2008-10-29,2008-11-14,Devolución,98082477,Paquete pequeño,2,1.0,3.36,Cyber Monday,BlueRay,Alto Consumo,B2C,4.359999999999999
Brasil,258459702,2006-01-23,2006-02-09,Devolución,98086185,Paquete pequeño,1,1.0,3.1,Sin descuento,BlueRay,Alto Consumo,B2C,4.1
Brasil,269213857,2013-07-25,2013-08-11,Normal,98074475,Paquete pequeño,1,1.0,3.89,Cyber Monday,BlueRay,Alto Consumo,B2C,4.890000000000001
Brasil,271304490,2006-07-13,2006-08-03,Normal,98085580,Paquete pequeño,2,3.0,4.14,Sin descuento,BlueRay,Alto Consumo,B2C,7.14
Brasil,271304490,2013-07-18,2013-08-04,Normal,98074512,Paquete pequeño,2,3.0,6.58,Cyber Monday,BlueRay,Alto Consumo,B2C,9.58
Brasil,272581503,2013-12-31,2018-04-04,Normal,98073723,Paquete pequeño,1,2.0,5.61,Sin descuento,BlueRay,Alto Consumo,B2B,7.61
Brasil,283730095,2000-03-11,2000-03-22,Devolución,98093957,Paquete pequeño,2,1.0,4.14,Sin descuento,BlueRay,Alto Consumo,B2B,5.14
Brasil,288269706,2010-10-08,2010-10-25,Normal,98079336,Paquete pequeño,2,2.0,6.88,Cyber Monday,BlueRay,Alto Consumo,B2B,8.879999999999999
Brasil,288269706,2014-01-21,2018-04-17,Devolución,98073615,Paquete pequeño,3,2.0,7.0,Sin descuento,BlueRay,Alto Consumo,B2B,9.0
Brasil,305002580,2010-09-12,2016-04-25,Normal,98079449,Paquete pequeño,2,1.0,6.0,Liquidación,BlueRay,Alto Consumo,B2C,7.0
Brasil,316694393,2003-09-30,2003-10-09,Normal,98089262,Paquete pequeño,2,2.0,3.58,Sin descuento,BlueRay,Alto Consumo,B2C,5.58
Brasil,323336792,2007-08-17,2007-08-28,Normal,98084093,Paquete pequeño,1,3.0,4.45,Sin descuento,BlueRay,Alto Consumo,B2C,7.45
Brasil,340379512,2009-12-13,2009-12-22,Normal,98080798,Paquete pequeño,3,1.0,4.33,Liquidación,BlueRay,Alto Consumo,B2C,5.33
Brasil,356602040,2013-04-13,2013-04-28,Devolución,98074978,Paquete pequeño,1,2.0,3.68,Sin descuento,BlueRay,Alto Consumo,B2C,5.68
Brasil,356712807,2015-06-23,2015-07-12,Normal,98070523,Paquete pequeño,1,2.0,6.45,Sin descuento,BlueRay,Alto Consumo,B2C,8.45
Brasil,360318072,2014-10-09,2014-10-26,Normal,98072160,Paquete pequeño,1,2.0,5.58,Sin descuento,BlueRay,Alto Consumo,B2C,7.58
Brasil,361586823,2002-01-28,2002-02-14,Normal,98091494,Paquete pequeño,3,2.0,3.88,Sin descuento,BlueRay,Alto Consumo,B2C,5.88
Brasil,369207282,2002-05-13,2002-06-03,Normal,98091078,Paquete pequeño,2,1.0,3.86,Black Friday,BlueRay,Alto Consumo,B2C,4.859999999999999
Brasil,378428659,2008-10-29,2008-11-17,Normal,98082475,Paquete pequeño,1,3.0,6.61,Liquidación,BlueRay,Alto Consumo,B2C,9.61
Brasil,404435455,2011-06-08,2011-06-20,Devolución,98078201,Paquete pequeño,3,1.0,5.1,Sin descuento,BlueRay,Alto Consumo,B2C,6.1
Brasil,413610234,2014-10-03,2018-06-25,Normal,98072201,Paquete pequeño,3,2.0,6.0,Cyber Monday,BlueRay,Alto Consumo,B2C,8.0
Brasil,448346508,2003-01-31,2003-02-21,Normal,98090149,Paquete pequeño,3,2.0,3.73,Sin descuento,BlueRay,Alto Consumo,B2B,5.73
Brasil,448635016,2004-04-26,2004-05-05,Devolución,98088466,Paquete pequeño,1,1.0,5.86,Black Friday,BlueRay,Alto Consumo,B2C,6.86
Brasil,448635016,2010-09-08,2010-09-27,Normal,98079472,Paquete pequeño,3,3.0,4.45,Sin descuento,BlueRay,Alto Consumo,B2C,7.45
Brasil,451629037,2005-06-25,2005-07-03,Normal,98086976,Paquete pequeño,3,2.0,6.45,Sin descuento,BlueRay,Alto Consumo,B2B,8.45
Brasil,471492301,2014-04-10,2014-05-01,Normal,98073187,Paquete pequeño,1,2.0,6.89,Fecha especial,BlueRay,Alto Consumo,B2C,8.89
Brasil,499023098,2009-01-29,2009-02-08,Normal,98082129,Paquete pequeño,2,2.0,3.2,Cyber Monday,BlueRay,Alto Consumo,B2C,5.2
Brasil,499023098,2014-05-28,2018-05-28,Normal,98072915,Paquete pequeño,3,3.0,3.61,Cyber Monday,BlueRay,Alto Consumo,B2C,6.609999999999999
Brasil,514136954,2002-03-14,2002-04-06,Normal,98091306,Paquete pequeño,2,2.0,6.73,Cyber Monday,BlueRay,Alto Consumo,B2B,8.73
Brasil,514251801,2010-09-04,2010-09-22,Normal,98079507,Paquete pequeño,2,3.0,5.55,Liquidación,BlueRay,Alto Consumo,B2C,8.55
Brasil,523605849,2015-10-25,2017-12-25,Normal,98069700,Paquete pequeño,2,2.0,3.65,Sin descuento,BlueRay,Alto Consumo,B2C,5.65
Brasil,549059705,2015-05-14,2017-11-01,Devolución,98070806,Paquete pequeño,1,1.0,3.99,Sin descuento,BlueRay,Alto Consumo,B2B,4.99
Brasil,549442190,2008-11-01,2008-11-12,Normal,98082467,Paquete pequeño,2,2.0,6.88,Sin descuento,BlueRay,Alto Consumo,B2C,8.879999999999999
Brasil,549442190,2009-07-21,2009-08-10,Normal,98081466,Paquete pequeño,2,1.0,4.73,Liquidación,BlueRay,Alto Consumo,B2C,5.73
Brasil,551050943,2004-11-28,2004-12-10,Devolución,98087728,Paquete pequeño,3,3.0,6.58,Cyber Monday,BlueRay,Alto Consumo,B2B,9.58
Brasil,565333786,2014-10-23,2014-11-07,Normal,98072079,Paquete pequeño,3,1.0,5.33,Sin descuento,BlueRay,Alto Consumo,B2C,6.33
Brasil,579052388,2010-04-30,2016-03-19,Normal,98080089,Paquete pequeño,3,2.0,6.25,Black Friday,BlueRay,Alto Consumo,B2B,8.25
Brasil,588854897,2015-05-03,2017-07-20,Normal,98070867,Paquete pequeño,3,3.0,3.12,Fecha especial,BlueRay,Alto Consumo,B2B,6.12
Brasil,598384221,2001-03-22,2001-04-02,Normal,98092609,Paquete pequeño,3,2.0,3.0,Cyber Monday,BlueRay,Alto Consumo,B2B,5.0
Brasil,598384221,2004-02-26,2004-03-07,Normal,98088694,Paquete pequeño,2,1.0,6.89,Sin descuento,BlueRay,Alto Consumo,B2B,7.89
Brasil,612686122,2004-04-15,2004-05-04,Normal,98088501,Paquete pequeño,2,1.0,5.99,Cyber Monday,BlueRay,Alto Consumo,B2B,6.99
Brasil,615575696,2012-02-08,2012-02-20,Normal,98077041,Paquete pequeño,3,2.0,3.75,Sin descuento,BlueRay,Alto Consumo,B2B,5.75
Brasil,675665654,2001-03-07,2001-03-20,Normal,98092672,Paquete pequeño,1,1.0,6.68,Sin descuento,BlueRay,Alto Consumo,B2B,7.68
Brasil,675665654,2007-07-19,2007-08-11,Normal,98084191,Paquete pequeño,1,1.0,6.12,Cyber Monday,BlueRay,Alto Consumo,B2B,7.12
Brasil,675665654,2009-12-10,2009-12-22,Devolución,98080816,Paquete pequeño,2,3.0,6.73,Fecha especial,BlueRay,Alto Consumo,B2B,9.73
Brasil,683896944,2011-03-04,2011-03-19,Normal,98078643,Paquete pequeño,1,2.0,6.33,Sin descuento,BlueRay,Alto Consumo,B2C,8.33
Brasil,684389929,2012-07-16,2016-10-23,Normal,98076312,Paquete pequeño,1,1.0,6.84,Sin descuento,BlueRay,Alto Consumo,B2C,7.84
Brasil,700137756,2002-07-02,2002-07-17,Normal,98090896,Paquete pequeño,3,3.0,6.75,Liquidación,BlueRay,Alto Consumo,B2B,9.75
Brasil,701100038,2002-02-25,2002-03-07,Normal,98091401,Paquete pequeño,2,3.0,3.22,Sin descuento,BlueRay,Alto Consumo,B2B,6.220000000000001
Brasil,705211779,2008-11-06,2008-11-26,Normal,98082443,Paquete pequeño,3,1.0,5.58,Cyber Monday,BlueRay,Alto Consumo,B2C,6.58
Brasil,707476699,2007-03-26,2007-04-05,Normal,98084585,Paquete pequeño,1,2.0,6.65,Cyber Monday,BlueRay,Alto Consumo,B2C,8.65
Brasil,720326971,2010-02-05,2010-02-28,Normal,98080515,Paquete pequeño,3,2.0,6.1,Cyber Monday,BlueRay,Alto Consumo,B2C,8.1
Brasil,751863869,2004-01-28,2004-02-12,Normal,98088821,Paquete pequeño,1,2.0,5.2,Sin descuento,BlueRay,Alto Consumo,B2C,7.2
Brasil,758679810,2002-04-27,2002-05-13,Normal,98091140,Paquete pequeño,3,3.0,6.22,Cyber Monday,BlueRay,Alto Consumo,B2C,9.22
Brasil,767598372,2005-06-24,2005-07-06,Normal,98086971,Paquete pequeño,1,1.0,3.0,Sin descuento,BlueRay,Alto Consumo,B2B,4.0
Brasil,782762817,2012-08-23,2012-09-03,Normal,98076125,Paquete pequeño,1,3.0,4.55,Sin descuento,BlueRay,Alto Consumo,B2B,7.55
Brasil,782762817,2014-10-23,2018-06-27,Normal,98072091,Paquete pequeño,1,1.0,6.45,Sin descuento,BlueRay,Alto Consumo,B2B,7.45
Brasil,870227408,2012-04-28,2012-05-20,Normal,98076686,Paquete pequeño,2,3.0,4.55,Cyber Monday,BlueRay,Alto Consumo,B2C,7.55
Chile,126466824,2009-01-29,2009-02-20,Devolución,98082124,Paquete pequeño,2,1.0,7.0,Sin descuento,BlueRay,Alto Consumo,B2C,8.0
Chile,139149235,2012-01-23,2012-02-10,Normal,98077123,Paquete pequeño,1,3.0,6.84,Sin descuento,BlueRay,Alto Consumo,B2C,9.84
Chile,162737049,2000-03-19,2000-04-11,Devolución,98093917,Paquete pequeño,1,2.0,3.58,Sin descuento,BlueRay,Alto Consumo,B2C,5.58
Chile,193156145,2001-10-08,2001-10-23,Normal,98091925,Paquete pequeño,3,1.0,5.99,Sin descuento,BlueRay,Alto Consumo,B2C,6.99
Chile,201171360,2014-09-05,2014-09-28,Normal,98072340,Paquete pequeño,1,1.0,6.55,Sin descuento,BlueRay,Alto Consumo,B2C,7.55
Chile,224042479,2008-08-17,2008-08-26,Normal,98082758,Paquete pequeño,2,3.0,4.22,Cyber Monday,BlueRay,Alto Consumo,B2B,7.22
Chile,225237308,2012-12-18,2013-01-10,Normal,98075547,Paquete pequeño,1,1.0,6.0,Black Friday,BlueRay,Alto Consumo,B2C,7.0
Chile,229898861,2006-03-10,2006-03-28,Normal,98086036,Paquete pequeño,2,2.0,5.68,Sin descuento,BlueRay,Alto Consumo,B2C,7.68
Chile,249798097,2009-05-14,2009-06-02,Normal,98081706,Paquete pequeño,2,2.0,6.84,Cyber Monday,BlueRay,Alto Consumo,B2B,8.84
Chile,249798097,2014-08-20,2014-09-05,Normal,98072423,Paquete pequeño,2,3.0,5.58,Cyber Monday,BlueRay,Alto Consumo,B2B,8.58
Chile,272491500,2006-08-26,2006-09-17,Normal,98085403,Paquete pequeño,3,1.0,3.0,Sin descuento,BlueRay,Alto Consumo,B2C,4.0
Chile,296364886,2001-02-16,2001-02-25,Devolución,98092738,Paquete pequeño,2,1.0,6.99,Liquidación,BlueRay,Alto Consumo,B2C,7.99
Chile,296364886,2008-08-11,2008-08-29,Normal,98082776,Paquete pequeño,2,3.0,5.89,Sin descuento,BlueRay,Alto Consumo,B2C,8.89
Chile,333427984,2013-09-18,2013-10-01,Normal,98074216,Paquete pequeño,2,2.0,6.58,Cyber Monday,BlueRay,Alto Consumo,B2C,8.58
Chile,361586823,2012-03-05,2012-03-22,Devolución,98076923,Paquete pequeño,3,2.0,5.9,Sin descuento,BlueRay,Alto Consumo,B2C,7.9
Chile,369207282,2009-07-21,2009-08-08,Normal,98081465,Paquete pequeño,2,2.0,5.58,Sin descuento,BlueRay,Alto Consumo,B2C,7.58
Chile,448449579,2001-11-27,2001-12-06,Normal,98091755,Paquete pequeño,2,1.0,6.45,Cyber Monday,BlueRay,Alto Consumo,B2C,7.45
Chile,453512131,2007-02-14,2007-02-24,Normal,98084740,Paquete pequeño,1,1.0,6.68,Liquidación,BlueRay,Alto Consumo,B2B,7.68
Chile,453512131,2012-09-24,2016-11-08,Normal,98075968,Paquete pequeño,2,3.0,6.0,Cyber Monday,BlueRay,Alto Consumo,B2B,9.0
Chile,453512131,2014-07-13,2017-05-12,Normal,98072648,Paquete pequeño,1,2.0,7.0,Cyber Monday,BlueRay,Alto Consumo,B2B,9.0
Chile,465708582,2015-05-12,2018-02-14,Normal,98070807,Paquete pequeño,2,1.0,6.99,Sin descuento,BlueRay,Alto Consumo,B2C,7.99
Chile,481472777,2011-10-13,2011-10-22,Normal,98077594,Paquete pequeño,3,2.0,5.36,Sin descuento,BlueRay,Alto Consumo,B2C,7.36
Chile,485015128,2014-12-30,2015-01-10,Normal,98071711,Paquete pequeño,3,2.0,4.25,Cyber Monday,BlueRay,Alto Consumo,B2C,6.25
Chile,499023098,2004-09-06,2004-09-26,Normal,98087998,Paquete pequeño,3,1.0,7.0,Cyber Monday,BlueRay,Alto Consumo,B2C,8.0
Chile,510773995,2011-02-10,2016-06-21,Normal,98078771,Paquete pequeño,1,3.0,4.12,Black Friday,BlueRay,Alto Consumo,B2C,7.12
Chile,531720979,2007-10-30,2007-11-08,Normal,98083826,Paquete pequeño,1,2.0,6.14,Sin descuento,BlueRay,Alto Consumo,B2C,8.14
Chile,535619292,2009-11-26,2009-12-05,Normal,98080877,Paquete pequeño,2,1.0,3.33,Cyber Monday,BlueRay,Alto Consumo,B2B,4.33
Chile,568383385,2001-06-11,2001-06-20,Normal,98092316,Paquete pequeño,2,3.0,6.25,Sin descuento,BlueRay,Alto Consumo,B2C,9.25
Chile,568383385,2003-03-29,2003-04-15,Normal,98089952,Paquete pequeño,2,3.0,3.58,Black Friday,BlueRay,Alto Consumo,B2C,6.58
Chile,588854897,2010-12-12,2016-05-17,Normal,98079038,Paquete pequeño,1,1.0,4.99,Sin descuento,BlueRay,Alto Consumo,B2B,5.99
Chile,596188269,2007-11-22,2007-11-30,Normal,98083727,Paquete pequeño,1,2.0,5.99,Sin descuento,BlueRay,Alto Consumo,B2B,7.99
Chile,596188269,2008-06-27,2008-07-15,Normal,98082934,Paquete pequeño,3,2.0,3.68,Cyber Monday,BlueRay,Alto Consumo,B2B,5.68
Chile,597467509,2005-07-04,2005-07-20,Normal,98086945,Paquete pequeño,2,3.0,4.68,Sin descuento,BlueRay,Alto Consumo,B2C,7.68
Chile,615575696,2000-11-24,2000-12-12,Normal,98093026,Paquete pequeño,2,3.0,3.99,Sin descuento,BlueRay,Alto Consumo,B2B,6.99
Chile,676480421,2010-09-29,2010-10-08,Normal,98079376,Paquete pequeño,1,3.0,4.45,Sin descuento,BlueRay,Alto Consumo,B2C,7.45
Chile,684389929,2006-02-01,2006-02-21,Normal,98086149,Paquete pequeño,2,3.0,4.22,Sin descuento,BlueRay,Alto Consumo,B2C,7.22
Chile,688783313,2013-01-11,2013-01-27,Devolución,98075420,Paquete pequeño,1,3.0,4.0,Cyber Monday,BlueRay,Alto Consumo,B2B,7.0
Chile,695360223,2001-08-02,2001-08-13,Normal,98092143,Paquete pequeño,1,3.0,4.75,Sin descuento,BlueRay,Alto Consumo,B2C,7.75
Chile,702980227,2011-03-11,2011-03-30,Normal,98078609,Paquete pequeño,1,3.0,3.9,Cyber Monday,BlueRay,Alto Consumo,B2C,6.9
Chile,733351455,2015-12-02,2015-12-25,Normal,98069443,Paquete pequeño,1,3.0,3.61,Sin descuento,BlueRay,Alto Consumo,B2B,6.609999999999999
Chile,741101105,2011-06-28,2011-07-07,Normal,98078097,Paquete pequeño,3,1.0,3.14,Black Friday,BlueRay,Alto Consumo,B2B,4.140000000000001
Chile,749092605,2002-02-18,2002-03-10,Normal,98091423,Paquete pequeño,3,3.0,3.61,Sin descuento,BlueRay,Alto Consumo,B2B,6.609999999999999
Chile,756679382,2010-07-27,2016-04-11,Normal,98079678,Paquete pequeño,1,1.0,3.2,Fecha especial,BlueRay,Alto Consumo,B2C,4.2
Chile,758679810,2002-05-21,2002-06-06,Normal,98091047,Paquete pequeño,3,2.0,3.45,Cyber Monday,BlueRay,Alto Consumo,B2C,5.45
Chile,761266512,2001-10-22,2001-11-06,Normal,98091866,Paquete pequeño,3,2.0,4.65,Sin descuento,BlueRay,Alto Consumo,B2C,6.65
Chile,761266512,2005-06-06,2005-06-25,Normal,98087028,Paquete pequeño,3,1.0,4.45,Sin descuento,BlueRay,Alto Consumo,B2C,5.45
Chile,767598372,2004-09-25,2004-10-12,Normal,98087936,Paquete pequeño,1,3.0,4.1,Cyber Monday,BlueRay,Alto Consumo,B2B,7.1
Chile,777301763,2001-06-06,2001-06-17,Normal,98092348,Paquete pequeño,3,2.0,6.68,Cyber Monday,BlueRay,Alto Consumo,B2B,8.68
Chile,781084228,2012-02-05,2012-02-22,Normal,98077064,Paquete pequeño,1,2.0,5.88,Liquidación,BlueRay,Alto Consumo,B2C,7.88
Chile,819761666,2012-03-23,2012-04-14,Normal,98076841,Paquete pequeño,1,2.0,4.2,Sin descuento,BlueRay,Alto Consumo,B2B,6.2
Chile,833567577,2009-12-08,2009-12-28,Normal,98080824,Paquete pequeño,1,2.0,6.33,Cyber Monday,BlueRay,Alto Consumo,B2C,8.33
Chile,841860903,2004-02-09,2004-03-03,Normal,98088760,Paquete pequeño,1,3.0,3.55,Sin descuento,BlueRay,Alto Consumo,B2B,6.55
Chile,845554615,2014-10-21,2014-11-03,Normal,98072100,Paquete pequeño,1,1.0,4.88,Sin descuento,BlueRay,Alto Consumo,B2C,5.88
Chile,862543364,2013-08-31,2013-09-10,Normal,98074302,Paquete pequeño,3,1.0,6.99,Black Friday,BlueRay,Alto Consumo,B2C,7.99
Chile,875729150,2005-07-16,2005-07-28,Normal,98086890,Paquete pequeño,1,3.0,3.0,Sin descuento,BlueRay,Alto Consumo,B2B,6.0
